 21:33:51 up 17 min,  1 user,  load average: 0.19, 0.46, 0.34
 21:44:02 up 28 min,  1 user,  load average: 0.02, 0.07, 0.17
 21:44:12 up 28 min,  1 user,  load average: 0.02, 0.07, 0.17
 21:44:22 up 28 min,  1 user,  load average: 0.02, 0.07, 0.16
 21:44:32 up 28 min,  1 user,  load average: 0.09, 0.08, 0.17
 21:44:42 up 28 min,  1 user,  load average: 0.07, 0.08, 0.17
 21:44:52 up 28 min,  1 user,  load average: 0.06, 0.08, 0.16
 21:45:02 up 29 min,  1 user,  load average: 0.05, 0.07, 0.16
 21:45:12 up 29 min,  1 user,  load average: 0.04, 0.07, 0.16
 21:45:22 up 29 min,  1 user,  load average: 0.04, 0.07, 0.16
 21:45:32 up 29 min,  1 user,  load average: 0.03, 0.06, 0.16
 21:45:42 up 29 min,  1 user,  load average: 0.02, 0.06, 0.15
 21:45:52 up 29 min,  1 user,  load average: 0.02, 0.06, 0.15
 21:46:02 up 30 min,  1 user,  load average: 0.02, 0.06, 0.15
 21:46:12 up 30 min,  1 user,  load average: 0.01, 0.05, 0.15
 21:46:22 up 30 min,  1 user,  load average: 0.01, 0.05, 0.15
 21:46:32 up 30 min,  1 user,  load average: 0.08, 0.07, 0.15
 21:46:42 up 30 min,  1 user,  load average: 0.07, 0.06, 0.15
 21:46:52 up 30 min,  1 user,  load average: 0.06, 0.06, 0.15
 21:47:02 up 31 min,  1 user,  load average: 1.08, 0.29, 0.22
 21:47:12 up 31 min,  1 user,  load average: 1.06, 0.31, 0.23
 21:47:22 up 31 min,  1 user,  load average: 0.90, 0.30, 0.22
 21:47:32 up 31 min,  1 user,  load average: 0.76, 0.29, 0.22
 21:47:42 up 31 min,  1 user,  load average: 0.64, 0.28, 0.22
 21:47:52 up 31 min,  1 user,  load average: 0.54, 0.27, 0.22
 21:48:02 up 32 min,  1 user,  load average: 0.46, 0.26, 0.21
 21:48:12 up 32 min,  1 user,  load average: 0.39, 0.25, 0.21
 21:48:22 up 32 min,  1 user,  load average: 0.33, 0.24, 0.21
 21:48:32 up 32 min,  1 user,  load average: 0.28, 0.23, 0.20
 21:48:42 up 32 min,  1 user,  load average: 0.23, 0.23, 0.20
 21:48:52 up 32 min,  1 user,  load average: 0.20, 0.22, 0.20
 21:49:02 up 33 min,  1 user,  load average: 0.17, 0.21, 0.20
 21:49:12 up 33 min,  1 user,  load average: 0.14, 0.20, 0.19
 21:49:22 up 33 min,  1 user,  load average: 0.12, 0.20, 0.19
 21:49:32 up 33 min,  1 user,  load average: 0.10, 0.19, 0.19
 21:49:42 up 33 min,  1 user,  load average: 0.16, 0.20, 0.19
 21:49:52 up 33 min,  1 user,  load average: 0.13, 0.19, 0.19
 21:50:02 up 34 min,  1 user,  load average: 0.11, 0.19, 0.18
 21:50:12 up 34 min,  1 user,  load average: 0.09, 0.18, 0.18
 21:50:22 up 34 min,  1 user,  load average: 0.08, 0.17, 0.18
